0.005,415.5
0.01,275.0
0.015,230.1
0.02,207.3
0.025,217.2
0.03,185.0
0.035,189.3
0.04,216.3
0.045,179.1
0.05,229.0
0.055,193.6
0.06,189.6
0.065,199.9
0.07,184.2
0.075,233.9
0.08,257.2
0.085,220.4
0.09,213.3
0.095,207.0
0.1,218.4
0.105,190.2
0.11,219.8
0.115,222.8
0.12,280.0
0.125,293.6
0.13,231.2
0.135,232.3
0.14,202.0
0.145,199.1
0.15,191.4
0.155,186.1
0.16,176.5
0.165,183.2
0.17,177.4
0.175,178.5
0.18,186.3
0.185,188.7
0.19,188.4
0.195,182.3
0.2,194.6
0.205,202.3
0.21,203.6
0.215,207.1
0.22,316.8
0.225,222.2
0.23,207.9
0.235,201.7
0.24,217.2
0.245,181.8
0.25,215.8
